bebida,custobebida
VT PREMIER RENDEZ V MERL CAB S,120
VT QUINTA DA ESP RESERVA  REG A,131
VT RISCAL TEMPRANILLO CAST,101
VT SECRETO,52
VT TARAPACA RES CABERNET SAUVI,58
VT VENTISQ RES CABER SAUVIGNON,60
VT VEZZANI SANGIOVERSE RUBICON,70
VV BICO AMARELO ESPORAO,64
VV CRUZEIRO DOS ARCOS,60
WHISKY BLACK WHITE,49
DRAMBUIE DS,10
ESP FREIXENET CORDON NEGRO BRU,67
JOHNNIE WALKER RED LABEL,98
LOGAN DS,10
MEIA SETE,0
RON HAVANA 7 YEARS DS,6
SUCO COPO DE MARACUJA,2
SUCO JARRA MARACUJA,6
VB CHIANTI VALVIRGINIO SECRETO,52
VB ESP REG ALENTEJO BRANCO,0
VB ITA CIAO BELLA PINOT NOIR,0
VB MIGUEL TORRES ANDICA GEWURZ,0
VB SHAKA CHARDONNAY,68
JOHNNIE WALKER RED LABEL,98
WHITE HORSE DS,3
VT ANGELICA ZAPATA CAB SAUVIGN,228
VT CASAS DEL MAIPO RESERVA  MER,68
VT CASTILLO MONTEARAGON RESER,85
VT COTES DU RHONE,0
VT LAS PERDICES CHA CHAC CABER,45
VT NORTON DOC MALBEC,98
VT QUINTA DA LACEIRA DOURO,93
VT REAL LAVRADOR ALENTEJO,70
VT VENTISQUEIRO RES PINOT NOIR,60
VODKA SMIRNOFF GF,46
Coca cola simples,5
sacolinhas,2
